order_id,customer_id,product_id,quantity,price,order_date
1,101,501,2,29.99,2024-01-15
2,168,547,9,269.99,2024-05-23
3,152,526,5,34.99,2025-08-10
4,113,545,3,109.99,2025-12-03
5,190,525,10,249.99,2025-07-15
6,153,508,9,199.99,2025-09-09
7,149,544,8,149.99,2024-04-28
8,123,513,1,129.99,2025-06-16
9,161,524,5,139.99,2025-04-19
10,123,528,7,119.99,2025-06-03
11,171,536,1,29.99,2025-10-11
12,169,514,7,64.99,2024-04-23
13,113,535,3,89.99,2025-07-08
14,128,522,9,169.99,2024-12-05
15,125,540,8,54.99,2024-01-05
16,167,514,6,64.99,2025-12-07
17,105,537,3,219.99,2024-01-06
18,179,540,4,54.99,2025-08-13
19,117,545,10,109.99,2025-06-28
20,118,516,7,94.99,2024-03-05
21,155,529,4,24.99,2024-10-16
22,108,523,12,44.99,2024-12-17
23,160,519,11,149.99,2024-03-12
24,110,504,5,39.99,2024-01-03
25,101,515,11,84.99,2024-01-01
26,127,524,11,139.99,2025-11-06
27,151,536,1,29.99,2026-03-26
28,174,533,1,44.99,2026-01-27
29,127,529,10,24.99,2026-01-27
30,103,547,1,269.99,2025-05-14
31,178,524,12,139.99,2024-04-11
32,111,522,12,169.99,2024-01-17
33,127,524,7,139.99,2024-03-31
34,134,516,4,94.99,2026-03-06
35,144,519,4,149.99,2025-04-28
36,106,538,3,64.99,2024-12-16
37,101,529,3,24.99,2024-11-22
38,114,550,3,94.99,2026-02-01
39,104,550,11,94.99,2025-07-04
40,152,515,9,84.99,2025-09-08
41,123,533,11,44.99,2024-03-30
42,156,518,9,109.99,2024-08-19
43,180,524,12,139.99,2024-12-27
44,200,525,7,249.99,2024-02-25
45,120,540,7,54.99,2024-06-28
46,127,542,4,299.99,2024-03-20
47,115,545,12,109.99,2024-03-14
48,173,528,10,119.99,2024-06-26
49,116,534,10,159.99,2026-01-01
50,157,522,2,169.99,2024-10-02
51,148,520,2,59.99,2025-11-11
52,116,521,3,79.99,2024-03-27
53,132,507,3,89.99,2024-05-24
54,140,516,12,94.99,2024-07-31
55,150,546,1,39.99,2025-06-04
56,174,508,2,199.99,2025-05-03
57,156,534,10,159.99,2026-02-20
58,188,544,5,149.99,2025-07-15
59,163,541,12,124.99,2024-04-30
60,155,502,5,49.99,2024-05-10
61,189,534,6,159.99,2024-06-02
62,127,535,9,89.99,2024-09-26
63,118,514,8,64.99,2025-06-24
64,127,525,1,249.99,2025-12-28
65,115,543,1,79.99,2026-02-26
66,158,549,9,179.99,2025-10-04
67,169,517,9,29.99,2024-01-09
68,167,512,3,74.99,2024-12-10
69,123,511,3,54.99,2025-05-22
70,139,541,10,124.99,2025-02-28
71,167,506,10,24.99,2025-12-30
72,142,542,4,299.99,2025-06-01
73,195,526,3,34.99,2025-08-24
74,105,528,5,119.99,2025-02-13
75,165,545,12,109.99,2025-09-16
76,121,537,12,219.99,2025-03-12
77,199,541,11,124.99,2024-05-05
78,119,502,6,49.99,2024-02-19
